Index,Campaign Period Sales,Buy,Historical Sales Volume,Number of Prior Year Transactions,Number of Transactions,Purchase Breadth,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group,Repurchase Method,Last Transaction Channel,Number of Employees,Service Level,Do No Disturb,Email Available,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies
0,238.70476190476197,1,146803.42857142858,15,15,2,19170,2242,Long-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,False,True,False,False,False,False,False,False,True,False,True
1,281.68,1,439984.16,22,22,1,14530,2368,Long-term,English,NOTICE,MAIL,11-50,Premier,False,True,False,False,False,False,False,False,False,False,True
2,432.8571428571429,1,970465.7142857144,19,19,1,21331,4028,Long-term,English,NOTICE,MAIL,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
3,0.0,0,230193.6,17,17,1,13814,2417,Mid-term,English,NOTICE,PHONE,1-5,Standard,False,True,False,False,False,False,False,False,False,False,True
4,308.41904761904766,1,182584.07619047625,16,16,2,15292,3137,Long-term,English,NOTICE,MAIL,6-10,Premier,False,False,False,False,False,False,False,False,False,True,True
5,0.0,0,151252.5,6,6,0,12551,2893,Mid-term,English,NOTICE,MAIL,51-100,Premier,False,True,False,False,False,False,False,False,False,False,False
6,0.0,0,1377761.0000000002,21,21,1,12991,2779,Mid-term,Unknown,NOTICE,MAIL,51-100,Premier,False,False,False,False,False,False,False,False,False,False,True
7,223.44000000000003,1,277512.48000000004,18,18,1,14149,3214,Mid-term,English,NOTICE,MAIL,1-5,Premier,False,False,False,False,False,False,False,False,False,False,True
8,0.0,0,221457.14285714287,15,15,1,13631,2077,Mid-term,English,NOTICE,WEB,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
9,124.76,1,199366.48,17,17,1,14817,2204,Long-term,English,NOTICE,MAIL,1-5,Standard,False,True,False,False,False,False,False,False,False,False,True
10,0.0,0,332935.2693333333,22,22,2,12170,2143,Mid-term,English,AUTO RENEW,AUTO RENEW,11-50,Premier,False,False,False,False,False,False,False,False,False,True,True
11,0.0,0,184006.2857142857,15,15,1,12445,2114,Mid-term,English,NOTICE,MAIL,6-10,Standard,False,False,False,False,False,False,False,False,False,False,True
12,110.33333333333336,1,148950.00000000003,10,10,2,18167,2056,Long-term,English,NOTICE,MAIL,1-5,Standard,False,True,False,False,False,False,False,False,True,False,True
13,0.0,0,255984.48000000004,23,23,1,1747,3037,Short-term,English,NOTICE,MAIL,11-50,Standard,False,True,False,False,False,False,False,False,False,False,True
14,141.712,1,637704.0,30,30,2,16842,2135,Long-term,English,NOTICE,BRANCH (POS),6-10,Premier,False,False,False,True,False,False,False,False,False,False,True
15,0.0,0,792136.7999999999,21,21,1,11074,2577,Mid-term,English,AUTO RENEW,AUTO RENEW,101-500,Premier,False,True,False,False,False,False,False,False,False,False,True
16,507.3142857142857,1,192779.42857142855,19,19,1,17544,4562,Long-term,English,NOTICE,MAIL,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
17,0.0,0,363121.00000000006,15,15,1,12916,2975,Mid-term,English,NOTICE,MAIL,1-5,Standard,False,False,False,False,False,False,False,False,False,False,True
18,0.0,0,501692.4,22,22,1,2781,3193,Short-term,English,NOTICE,MAIL,1-5,Standard,False,False,False,False,False,False,False,False,False,False,True
19,0.0,0,117955.20000000004,18,18,1,15016,1689,Long-term,English,NOTICE,MAIL,1-5,Premier,False,True,False,False,False,False,False,False,False,False,True
20,0.0,0,127709.86666666668,8,8,1,10953,3261,Mid-term,English,NOTICE,MAIL,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
21,0.0,0,452872.3466666666,11,11,1,11530,3466,Mid-term,English,NOTICE,MAIL,11-50,Standard,False,True,False,False,False,False,False,False,False,False,True
22,178.47619047619048,1,517224.0,21,21,1,18214,2206,Long-term,English,NOTICE,MAIL,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
23,0.0,0,350056.00000000006,15,15,1,10909,6010,Mid-term,English,NOTICE,MAIL,1-5,Premier,False,True,False,False,False,False,False,False,False,False,True
24,0.0,0,29864.761904761905,4,4,2,13404,3067,Mid-term,English,NOTICE,WEB,6-10,Premier,False,True,False,False,False,False,False,False,True,False,True
25,0.0,0,390473.1428571429,15,15,1,11439,2870,Mid-term,English,NOTICE,MAIL,6-10,Premier,False,False,False,False,False,False,False,False,False,False,True
26,304.08000000000004,1,485007.6000000001,11,11,1,17634,4040,Long-term,English,NOTICE,MAIL,1-5,Standard,True,True,False,False,False,False,False,False,False,False,True
27,323.3706666666667,1,548113.28,15,15,1,2291,2200,Short-term,English,AUTO RENEW,MAIL,11-50,Premier,False,False,False,False,False,False,False,False,False,False,True
28,211.25866666666667,1,71827.94666666667,17,17,1,22580,2590,Long-term,English,AUTO RENEW,AUTO RENEW,1-5,Premier,False,True,False,False,False,False,False,False,False,False,True
29,0.0,0,112012.5,3,3,0,11881,2403,Mid-term,English,NOTICE,MAIL,6-10,Standard,False,True,False,False,False,False,False,False,False,False,False
30,0.0,0,178257.19999999998,10,10,1,10434,2363,Mid-term,English,NOTICE,MAIL,1-5,Premier,False,True,False,False,False,False,False,False,False,False,True
31,201.6952380952381,1,298508.9523809524,20,20,1,18365,2372,Long-term,English,NOTICE,MAIL,6-10,Premier,False,False,False,False,False,False,False,False,False,False,True
32,0.0,0,948106.9714285716,22,22,2,10557,3071,Mid-term,English,NOTICE,MAIL,6-10,Premier,False,False,False,False,False,True,False,False,False,False,True
33,0.0,0,953837.7333333336,14,14,1,11104,3884,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
34,131.86666666666665,1,346545.5999999999,18,18,1,19566,2276,Long-term,English,NOTICE,MAIL,1-5,Premier,False,True,False,False,False,False,False,False,False,False,True
35,0.0,0,105257.6,16,16,0,11304,2851,Mid-term,Unknown,NOTICE,MAIL,11-50,Premier,False,True,False,False,False,False,False,False,False,False,False
36,0.0,0,71875.04761904762,4,4,1,10984,3268,Mid-term,English,NOTICE,MAIL,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
37,0.0,0,34663.571428571435,1,1,0,11227,2455,Mid-term,Unknown,NOTICE,MAIL,6-10,Premier,False,True,False,False,False,False,False,False,False,False,False
38,0.0,0,312152.99047619046,19,19,1,12612,2766,Mid-term,English,NOTICE,PHONE,6-10,Premier,False,False,False,False,False,False,False,False,False,False,True
39,0.0,0,173610.80000000002,15,15,1,12065,6312,Mid-term,English,NOTICE,MAIL,1-5,Standard,False,True,False,False,False,False,False,False,False,False,True
40,0.0,0,334889.2,15,15,1,17360,2211,Long-term,Asian,NOTICE,MAIL,11-50,Standard,False,True,False,False,False,False,False,False,False,False,True
41,1299.25,1,3383247.0,21,21,7,9857,3055,Mid-term,English,NOTICE,WEB,101-500,Standard,False,True,True,True,True,True,True,True,True,False,False
42,0.0,0,922924.8,15,15,2,12079,3739,Mid-term,English,NOTICE,MAIL,11-50,Premier,False,True,False,False,False,False,True,False,False,False,True
43,448.0533333333334,1,138448.48000000004,3,3,1,7292,5513,Mid-term,English,NOTICE,WEB,1-5,Standard,False,True,False,False,False,False,False,False,False,False,True
44,283.1190476190476,1,143824.47619047618,4,4,0,10008,2550,Mid-term,English,NOTICE,MAIL,6-10,Premier,False,False,False,False,False,False,False,False,False,False,False
45,0.0,0,1118455.0,15,15,2,13722,3275,Mid-term,English,NOTICE,MAIL,51-100,Standard,False,True,False,False,False,True,False,False,False,False,True
46,125.77066666666668,1,168910.00533333333,17,17,1,16539,1917,Long-term,Unknown,AUTO RENEW,AUTO RENEW,1-5,Premier,False,True,False,False,False,False,False,False,False,False,True
47,195.59428571428572,1,404880.17142857146,24,15,1,9813,2005,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Standard,False,True,False,False,False,False,False,False,False,False,True
48,0.0,0,70817.24,30,30,1,13661,2020,Mid-term,English,AUTO RENEW,WEB,1-5,Standard,False,True,False,False,False,False,False,False,False,False,True
49,357.65714285714284,1,572966.7428571428,18,18,1,9752,3490,Mid-term,English,NOTICE,WEB,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
50,0.0,0,173556.24000000005,18,18,1,11425,1298,Mid-term,English,AUTO RENEW,WEB,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
51,179.58095238095237,1,20831.390476190478,4,4,1,9902,2213,Mid-term,English,NOTICE,MAIL,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
52,375.81142857142856,1,876016.44,21,21,1,9735,2998,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Standard,False,True,False,False,False,False,False,False,False,False,True
53,170.47619047619048,1,26253.333333333336,14,14,1,18532,2148,Long-term,English,NOTICE,MAIL,6-10,Premier,False,False,False,False,False,False,False,False,False,False,True
54,0.0,0,1520057.7600000002,30,30,2,15565,2677,Long-term,English,AUTO RENEW,WEB,11-50,Standard,False,True,False,False,False,False,False,False,True,False,True
55,0.0,0,344148.48,18,18,1,15930,2286,Long-term,English,NOTICE,WEB,1-5,Standard,False,True,False,False,False,False,False,False,False,False,True
56,0.0,0,289807.54285714286,12,12,1,13770,2445,Mid-term,English,NOTICE,WEB,6-10,Standard,False,True,False,False,False,False,False,False,False,False,True
57,409.7600000000001,1,86049.6,21,21,1,16783,3024,Long-term,English,NOTICE,WEB,11-50,Premier,False,False,False,False,False,False,False,False,False,False,True
58,0.0,0,24411.333333333336,5,5,1,11653,1641,Mid-term,Unknown,NOTICE,WEB,101-500,Premier,False,True,False,False,False,False,False,False,False,False,True
59,0.0,0,95870.0,6,6,1,9431,2235,Mid-term,English,NOTICE,BRANCH (PHONE),11-50,Premier,False,True,True,False,False,False,False,False,False,False,False
60,0.0,0,130069.33333333334,20,20,1,12323,2719,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,False,True,False,False,False,False,False,False,False,False,True
61,0.0,0,459523.67999999993,18,18,1,12674,2624,Mid-term,English,NOTICE,MAIL,11-50,Premier,False,True,False,False,False,False,False,False,False,False,True
62,621.8000000000001,1,790929.6000000001,24,24,1,17071,2200,Long-term,English,NOTICE,MAIL,101-500,Standard,False,False,False,False,False,False,False,False,False,False,True
63,0.0,0,142550.81904761904,13,13,1,2766,2409,Short-term,English,NOTICE,MAIL,6-10,Standard,False,True,False,False,False,False,False,False,False,False,True
64,0.0,0,231278.4,9,9,1,11288,3119,Mid-term,English,NOTICE,MAIL,1-5,Standard,False,False,False,False,False,False,False,False,False,False,True
65,0.0,0,238402.56,17,17,2,11043,2048,Mid-term,English,NOTICE,WEB,11-50,Premier,False,True,True,False,False,False,False,False,False,False,True
66,159.904,1,240495.616,16,16,3,10678,2291,Mid-term,English,NOTICE,MAIL,1-5,Premier,False,True,False,True,False,False,False,False,True,False,True
