,Customer Number,Campaign Period Sales,Historical Sales Volume,Date of First Purchase,Number of Prior Year Transactions,Do Not Direct Mail Solicit,Do Not Email,Do Not Telemarket,Repurchase Method,Last Transaction Channel,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies,Number of Employees,Language,Service Level,Date of Last Transaction,Number of Transactions,Email Available,Buy,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group
0,86734,238.70476190476194,146803.42857142858,1968-10-01,15,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,Y,N,Y,6-10,English,Premier,2015-02-05,15,True,1,19170,2242,Long-term,English
1,97098,281.68,439984.16,1981-06-15,22,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2014-10-02,22,True,1,14530,2368,Long-term,English
2,100836,432.8571428571429,970465.7142857144,1962-11-01,19,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2010-03-17,19,True,1,21331,4028,Long-term,English
3,116390,0.0,230193.59999999998,1983-06-01,17,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2014-08-14,17,True,0,13814,2417,Mid-term,English
5,148529,308.41904761904766,182584.07619047622,1979-05-15,16,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,Y,Y,6-10,English,Premier,2012-08-24,16,False,1,15292,3137,Long-term,English
6,163829,0.0,151252.5,1986-11-15,6,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,51-100,English,Premier,2013-04-25,6,True,0,12551,2893,Mid-term,English
7,164322,0.0,1377761.0000000002,1985-09-01,21,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,51-100,Unknown,Premier,2013-08-17,21,False,0,12991,2779,Mid-term,Unknown
9,170336,223.44000000000003,277512.48000000004,1982-07-01,18,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2012-06-08,18,False,1,14149,3214,Mid-term,English
10,182528,0.0,221457.14285714287,1983-12-01,15,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-07-20,15,True,0,13631,2077,Mid-term,English
11,186013,124.75999999999999,199366.48,1980-09-01,17,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2015-03-15,17,True,1,14817,2204,Long-term,English
12,191440,0.0,332935.2693333333,1987-12-01,22,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,Y,Y,11-50,English,Premier,2015-05-15,22,False,0,12170,2143,Mid-term,English
13,196723,0.0,184006.28571428574,1987-03-01,15,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2015-06-13,15,False,0,12445,2114,Mid-term,English
15,212131,110.33333333333336,148950.00000000003,1971-07-01,10,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,Y,N,Y,1-5,English,Standard,2015-08-10,10,True,1,18167,2056,Long-term,English
16,217573,0.0,255984.48000000004,2016-06-14,23,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2012-12-02,23,True,0,1747,3037,Short-term,English
17,234724,141.712,637704.0,1975-02-15,30,False,True,False,NOTICE,BRANCH (POS),N,Y,N,N,N,N,N,N,Y,6-10,English,Premier,2015-05-23,30,False,1,16842,2135,Long-term,English
18,240009,0.0,792136.7999999999,1990-12-01,21,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,101-500,English,Premier,2014-03-07,21,True,0,11074,2577,Mid-term,English
19,246714,507.3142857142857,192779.42857142858,1973-03-15,19,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2008-09-29,19,True,1,17544,4562,Long-term,English
20,251966,0.0,363121.00000000006,1985-11-15,15,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2013-02-02,15,False,0,12916,2975,Mid-term,English
21,255302,0.0,501692.4,2013-08-15,22,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2012-06-29,22,False,0,2781,3193,Short-term,English
22,260882,0.0,117955.20000000003,1980-02-15,18,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2016-08-11,18,True,0,15016,1689,Long-term,English
23,268173,0.0,127709.86666666668,1991-04-01,8,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-04-22,8,True,0,10953,3261,Mid-term,English
24,274058,0.0,452872.3466666666,1989-09-01,11,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Standard,2011-09-30,11,True,0,11530,3466,Mid-term,English
25,275416,178.47619047619048,517224.0,1971-05-15,21,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-03-13,21,True,1,18214,2206,Long-term,English
26,284729,0.0,350056.00000000006,1991-05-15,15,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2004-10-12,15,True,0,10909,6010,Mid-term,English
27,285962,0.0,29864.761904761905,1984-07-15,4,False,False,False,NOTICE,WEB,N,N,N,N,N,N,Y,N,Y,6-10,English,Premier,2012-11-02,4,True,0,13404,3067,Mid-term,English
28,290624,0.0,390473.14285714284,1989-12-01,15,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-05-18,15,False,0,11439,2870,Mid-term,English
30,299477,304.08000000000004,485007.6000000001,1972-12-15,11,True,True,True,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2010-03-05,11,True,1,17634,4040,Long-term,English
31,301458,323.3706666666667,548113.28,2014-12-18,15,False,False,False,AUTO RENEW,MAIL,N,N,N,N,N,N,N,N,Y,11-50,English,Premier,2015-03-19,15,False,1,2291,2200,Short-term,English
32,315239,211.25866666666667,71827.94666666667,1959-06-01,17,False,True,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2014-02-22,17,True,1,22580,2590,Long-term,English
33,316370,0.0,112012.5,1988-09-15,3,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,6-10,English,Standard,2014-08-28,3,True,0,11881,2403,Mid-term,English
34,322630,0.0,178257.19999999998,1992-09-01,10,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2014-10-07,10,True,0,10434,2363,Mid-term,English
35,323468,201.6952380952381,298508.95238095237,1970-12-15,20,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2014-09-28,20,False,1,18365,2372,Long-term,English
36,330469,0.0,948106.9714285715,1992-05-01,22,False,False,False,NOTICE,MAIL,N,N,N,Y,N,N,N,N,Y,6-10,English,Premier,2012-10-29,22,False,0,10557,3071,Mid-term,English
37,331032,0.0,953837.7333333336,1990-11-01,14,False,True,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2010-08-08,14,True,0,11104,3884,Mid-term,English
38,332697,131.86666666666665,346545.5999999999,1967-09-01,18,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Premier,2015-01-02,18,True,1,19566,2276,Long-term,English
39,342310,0.0,105257.59999999999,1990-04-15,16,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,11-50,Unknown,Premier,2013-06-06,16,True,0,11304,2851,Mid-term,Unknown
41,356828,0.0,71875.04761904762,1991-03-01,4,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2012-04-15,4,True,0,10984,3268,Mid-term,English
42,357850,0.0,34663.571428571435,1990-07-01,1,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,6-10,Unknown,Premier,2014-07-07,1,True,0,11227,2455,Mid-term,Unknown
43,363119,0.0,312152.99047619046,1986-09-15,19,False,False,False,NOTICE,PHONE,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2013-08-30,19,False,0,12612,2766,Mid-term,English
44,363574,0.0,173610.80000000002,1988-03-15,15,False,True,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2003-12-15,15,True,0,12065,6312,Mid-term,English
45,367083,0.0,334889.2,1973-09-15,15,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,11-50,Hindi,Standard,2015-03-08,15,True,0,17360,2211,Long-term,Asian
50,390302,1299.25,3383247.0,1994-04-01,21,False,False,False,NOTICE,WEB,Y,Y,Y,Y,Y,Y,Y,N,N,101-500,English,Standard,2012-11-14,21,True,1,9857,3055,Mid-term,English
51,398067,0.0,922924.7999999999,1988-03-01,15,False,False,False,NOTICE,MAIL,N,N,N,N,Y,N,N,N,Y,11-50,English,Premier,2010-12-31,15,True,0,12079,3739,Mid-term,English
52,399932,448.0533333333334,138448.48000000004,2001-04-09,3,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2006-02-21,3,True,1,7292,5513,Mid-term,English
53,400461,283.1190476190476,143824.47619047618,1993-11-01,4,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,N,6-10,English,Premier,2014-04-03,4,False,1,10008,2550,Mid-term,English
55,402456,0.0,1118455.0,1983-09-01,15,False,False,False,NOTICE,MAIL,N,N,N,Y,N,N,N,N,Y,51-100,English,Standard,2012-04-08,15,True,0,13722,3275,Mid-term,English
56,404852,125.77066666666667,168910.00533333333,1975-12-15,17,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,1-5,Unknown,Premier,2015-12-27,17,True,1,16539,1917,Long-term,Unknown
57,407095,195.59428571428575,404880.17142857146,1994-05-15,24,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2015-09-30,15,True,1,9813,2005,Mid-term,English
58,408612,0.0,70817.24,1983-11-01,30,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,1-5,English,Standard,2015-09-15,30,True,0,13661,2020,Mid-term,English
60,420762,357.65714285714284,572966.7428571428,1994-07-15,18,False,False,False,NOTICE,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2011-09-06,18,True,1,9752,3490,Mid-term,English
61,427079,0.0,173556.24000000005,1989-12-15,18,False,False,False,AUTO RENEW,WEB,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2017-09-06,18,True,0,11425,1298,Mid-term,English
62,435680,179.58095238095237,20831.390476190474,1994-02-15,4,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-03-06,4,True,1,9902,2213,Mid-term,English
63,456530,375.81142857142856,876016.44,1994-08-01,21,False,False,False,AUTO RENEW,AUTO RENEW,N,N,N,N,N,N,N,N,Y,6-10,English,Standard,2013-01-10,21,True,1,9735,2998,Mid-term,English
65,457645,170.47619047619048,26253.333333333336,1970-07-01,14,False,False,False,NOTICE,MAIL,N,N,N,N,N,N,N,N,Y,6-10,English,Premier,2015-05-10,14,False,1,18532,2148,Long-term,English
